,國文,英文,數學,地理,歷史,總分,平均
1,60,94,82,85,67,388,77.6
2,80,90,60,84,64,378,75.6
3,89,93,90,90,77,439,87.8
4,66,69,94,63,99,391,78.2
5,62,74,70,79,65,350,70.0
6,72,80,75,60,71,358,71.6
7,81,87,75,60,95,398,79.6
8,66,94,67,91,79,397,79.4
9,88,99,64,71,71,393,78.6
10,68,69,72,97,77,383,76.6
11,68,90,72,73,71,374,74.8
12,80,81,66,74,74,375,75.0
13,99,90,81,77,99,446,89.2
14,78,73,66,84,85,386,77.2
15,81,76,78,69,62,366,73.2
16,61,86,81,82,83,393,78.6
17,89,67,95,89,61,401,80.2
18,74,63,88,67,90,382,76.4
19,84,79,97,78,60,398,79.6
20,60,73,70,99,98,400,80.0
21,78,95,94,94,67,428,85.6
22,93,79,80,65,81,398,79.6
23,76,74,82,67,83,382,76.4
24,99,76,61,81,91,408,81.6
25,60,90,89,66,81,386,77.2
26,78,80,76,83,83,400,80.0
27,85,88,71,81,89,414,82.8
28,64,92,97,83,87,423,84.6
29,77,81,86,70,73,387,77.4
30,97,77,86,66,88,414,82.8
31,97,80,74,99,91,441,88.2
32,69,81,74,62,80,366,73.2
33,60,69,78,86,62,355,71.0
34,76,66,70,66,84,362,72.4
35,68,61,65,69,95,358,71.6
36,83,91,61,89,86,410,82.0
37,77,88,97,84,61,407,81.4
38,85,89,64,96,82,416,83.2
39,67,73,66,92,83,381,76.2
40,78,61,63,72,73,347,69.4
41,65,84,86,69,98,402,80.4
42,63,66,75,80,86,370,74.0
43,67,84,89,60,68,368,73.6
44,98,63,86,65,85,397,79.4
45,88,77,86,83,91,425,85.0
46,63,87,82,81,98,411,82.2
47,75,64,64,80,80,363,72.6
48,86,78,79,66,87,396,79.2
49,70,90,75,66,95,396,79.2
50,85,65,63,87,75,375,75.0
